spell damage,hit chance,crit chance,number of mages,simulations,dps per mage
300,97,15,4,3000,566.44
300,97,15,5,3000,567.77
300,97,15,6,3000,567.72
300,97,15,7,3000,565.42
300,97,15,8,3000,563.99
300,97,15,9,3000,560.96
300,97,20,1,3000,550.72
300,97,20,2,3000,587.90
300,97,20,3,3000,601.14
300,97,20,4,3000,602.79
300,97,20,5,3000,605.83
300,97,20,6,3000,603.11
300,97,20,7,3000,598.52
300,97,20,8,3000,592.57
300,97,20,9,3000,588.46
300,97,25,1,3000,580.13
300,97,25,2,3000,625.16
300,97,25,3,3000,639.68
300,97,25,4,3000,642.59
300,97,25,5,3000,641.59
300,97,25,6,3000,634.81
300,97,25,7,3000,626.23
300,97,25,8,3000,616.99
300,97,25,9,3000,607.24
300,97,30,1,3000,613.25
300,97,30,2,3000,665.71
300,97,30,3,3000,680.62
300,97,30,4,3000,679.73
300,97,30,5,3000,674.99
300,97,30,6,3000,662.06
300,97,30,7,3000,647.54
300,97,30,8,3000,633.02
300,97,30,9,3000,619.25
300,97,35,1,3000,649.51
300,97,35,2,3000,709.59
300,97,35,3,3000,721.93
300,97,35,4,3000,713.85
300,97,35,5,3000,701.79
300,97,35,6,3000,682.09
300,97,35,7,3000,663.35
300,97,35,8,3000,646.25
300,97,35,9,3000,634.54
300,97,40,1,3000,688.15
300,97,40,2,3000,755.22
300,97,40,3,3000,763.15
300,97,40,4,3000,744.39
300,97,40,5,3000,724.34
300,97,40,6,3000,697.78
300,97,40,7,3000,678.09
300,97,40,8,3000,662.50
300,97,40,9,3000,648.29
300,97,45,1,3000,730.86
300,97,45,2,3000,802.99
300,97,45,3,3000,801.20
300,97,45,4,3000,770.56
300,97,45,5,3000,742.54
300,97,45,6,3000,715.65
300,97,45,7,3000,694.48
300,97,45,8,3000,676.23
300,97,45,9,3000,660.98
300,97,50,1,3000,779.25
300,97,50,2,3000,851.11
300,97,50,3,3000,834.98
300,97,50,4,3000,792.40
300,97,50,5,3000,759.84
300,97,50,6,3000,731.39
300,97,50,7,3000,707.89
300,97,50,8,3000,688.86
300,97,50,9,3000,672.86
300,97,55,1,3000,831.39
300,97,55,2,3000,898.73
300,97,55,3,3000,865.46
300,97,55,4,3000,812.79
300,97,55,5,3000,777.26
300,97,55,6,3000,747.33
300,97,55,7,3000,720.99
300,97,55,8,3000,701.24
300,97,55,9,3000,684.05
300,97,60,1,3000,891.45
300,97,60,2,3000,947.23
300,97,60,3,3000,891.68
300,97,60,4,3000,833.51
300,97,60,5,3000,793.73
300,97,60,6,3000,760.12
300,97,60,7,3000,733.36
300,97,60,8,3000,712.26
300,97,60,9,3000,695.17
300,97,65,1,3000,955.35
300,97,65,2,3000,989.70
300,97,65,3,3000,916.84
300,97,65,4,3000,851.78
300,97,65,5,3000,808.93
300,97,65,6,3000,773.12
300,97,65,7,3000,745.42
300,97,65,8,3000,723.67
300,97,65,9,3000,705.59
300,97,70,1,3000,1027.57
300,97,70,2,3000,1034.25
300,97,70,3,3000,941.06
300,97,70,4,3000,868.58
300,97,70,5,3000,822.68
300,97,70,6,3000,784.97
300,97,70,7,3000,757.06
300,97,70,8,3000,733.77
300,97,70,9,3000,715.57
300,99,10,1,3000,507.65
300,99,10,2,3000,537.10
300,99,10,3,3000,543.67
300,99,10,4,3000,543.68
300,99,10,5,3000,543.44
300,99,10,6,3000,542.25
300,99,10,7,3000,540.22
300,99,10,8,3000,539.76
300,99,10,9,3000,538.99
300,99,15,1,3000,534.38
300,99,15,2,3000,567.25
300,99,15,3,3000,576.42
300,99,15,4,3000,577.58
300,99,15,5,3000,579.96
300,99,15,6,3000,579.22
300,99,15,7,3000,577.32
300,99,15,8,3000,575.48
300,99,15,9,3000,572.46
300,99,20,1,3000,562.37
300,99,20,2,3000,601.09
300,99,20,3,3000,613.74
300,99,20,4,3000,615.00
300,99,20,5,3000,618.13
300,99,20,6,3000,615.79
300,99,20,7,3000,611.65
300,99,20,8,3000,605.00
300,99,20,9,3000,599.74
300,99,25,1,3000,593.54
